species,leaftype
Salvia leucophylla,nonsclero
Artemisia californica,nonsclero
Malacothamnus fasciculatus,nonsclero
Heteromeles arbutifolia,sclerophyllous
Rhus ovata,sclerophyllous
Eriodictyon crassifolium,nonsclero
Rhamnus ilicifolia,sclerophyllous
Baccharis pilularis,nonsclero
Malacothamnus fasciculatus dead,nonsclero
Salvia leucophylla dead,nonsclero
Heteromeles arbutifolia dead,sclerophyllous
