"","stand_core_depth_treat","germination_n_per_tray","stand","site","soilcore","depth_name","treatment","stand_core","stand_core_depth","nonnative_grass","native_shrub","subsample_g","seeds_per_g","seeds_per_g_log"
"156","INT1_3_surface_oven",9,"intact","INT1","3","surface","oven","INT1_3","INT1_3_surface",0.243902439,0.707317073,218.75,0.0411428571428571,-3.1907049479015
"157","INT1_3_surface_ovenchar",7,"intact","INT1","3","surface","ovenchar","INT1_3","INT1_3_surface",0.243902439,0.707317073,218.75,0.032,-3.44201937618241
"158","INT2_4_deep_charate",12,"intact","INT2","4","deep","charate","INT2_4","INT2_4_deep",0.073170732,0.707317073,371.875,0.0322689075630252,-3.43365112651189
"159","INT2_4_deep_control",9,"intact","INT2","4","deep","control","INT2_4","INT2_4_deep",0.073170732,0.707317073,371.875,0.0242016806722689,-3.72133319896367
"160","INT2_4_deep_oven",17,"intact","INT2","4","deep","oven","INT2_4","INT2_4_deep",0.073170732,0.707317073,371.875,0.0457142857142857,-3.08534443224368
"161","INT2_4_deep_ovenchar",7,"intact","INT2","4","deep","ovenchar","INT2_4","INT2_4_deep",0.073170732,0.707317073,371.875,0.0188235294117647,-3.97264762724458
"162","INT2_4_surface_charate",28,"intact","INT2","4","surface","charate","INT2_4","INT2_4_surface",0.073170732,0.707317073,218.75,0.128,-2.05572501506252
"163","INT2_4_surface_control",18,"intact","INT2","4","surface","control","INT2_4","INT2_4_surface",0.073170732,0.707317073,218.75,0.0822857142857143,-2.49755776734156
"164","INT2_4_surface_oven",25,"intact","INT2","4","surface","oven","INT2_4","INT2_4_surface",0.073170732,0.707317073,218.75,0.114285714285714,-2.16905370036952
"165","INT2_4_surface_ovenchar",24,"intact","INT2","4","surface","ovenchar","INT2_4","INT2_4_surface",0.073170732,0.707317073,218.75,0.109714285714286,-2.20987569488978
"166","INT2_5_deep_charate",9,"intact","INT2","5","deep","charate","INT2_5","INT2_5_deep",0.073170732,0.707317073,371.875,0.0242016806722689,-3.72133319896367
"167","INT2_5_deep_control",11,"intact","INT2","5","deep","control","INT2_5","INT2_5_deep",0.073170732,0.707317073,371.875,0.0295798319327731,-3.52066250350152
"168","INT2_5_deep_oven",9,"intact","INT2","5","deep","oven","INT2_5","INT2_5_deep",0.073170732,0.707317073,371.875,0.0242016806722689,-3.72133319896367
"169","INT2_5_deep_ovenchar",5,"intact","INT2","5","deep","ovenchar","INT2_5","INT2_5_deep",0.073170732,0.707317073,371.875,0.0134453781512605,-4.30911986386579
"170","INT2_5_surface_charate",20,"intact","INT2","5","surface","charate","INT2_5","INT2_5_surface",0.073170732,0.707317073,164.0625,0.121904761904762,-2.10451517923195
"171","INT2_5_surface_control",14,"intact","INT2","5","surface","control","INT2_5","INT2_5_surface",0.073170732,0.707317073,164.0625,0.0853333333333333,-2.46119012317068
"172","INT2_5_surface_oven",9,"intact","INT2","5","surface","oven","INT2_5","INT2_5_surface",0.073170732,0.707317073,164.0625,0.0548571428571429,-2.90302287544972
"173","INT2_5_surface_ovenchar",6,"intact","INT2","5","surface","ovenchar","INT2_5","INT2_5_surface",0.073170732,0.707317073,164.0625,0.0365714285714286,-3.30848798355789
"174","INT2_6_deep_charate",14,"intact","INT2","6","deep","charate","INT2_6","INT2_6_deep",0.073170732,0.707317073,371.875,0.0376470588235294,-3.27950044668464
"175","INT2_6_deep_control",18,"intact","INT2","6","deep","control","INT2_6","INT2_6_deep",0.073170732,0.707317073,371.875,0.0484033613445378,-3.02818601840373
"176","INT2_6_deep_oven",15,"intact","INT2","6","deep","oven","INT2_6","INT2_6_deep",0.073170732,0.707317073,371.875,0.0403361344537815,-3.21050757519768
"177","INT2_6_deep_ovenchar",16,"intact","INT2","6","deep","ovenchar","INT2_6","INT2_6_deep",0.073170732,0.707317073,371.875,0.0430252100840336,-3.14596905406011
"178","INT2_6_surface_charate",21,"intact","INT2","6","surface","charate","INT2_6","INT2_6_surface",0.073170732,0.707317073,218.75,0.096,-2.3434070875143
"179","INT2_6_surface_control",16,"intact","INT2","6","surface","control","INT2_6","INT2_6_surface",0.073170732,0.707317073,218.75,0.0731428571428571,-2.61534080299794
"180","INT2_6_surface_oven",28,"intact","INT2","6","surface","oven","INT2_6","INT2_6_surface",0.073170732,0.707317073,218.75,0.128,-2.05572501506252
"181","INT2_6_surface_ovenchar",21,"intact","INT2","6","surface","ovenchar","INT2_6","INT2_6_surface",0.073170732,0.707317073,218.75,0.096,-2.3434070875143
"182","INT3_7_deep_charate",9,"intact","INT3","7","deep","charate","INT3_7","INT3_7_deep",0.12195122,0.951219512,371.875,0.0242016806722689,-3.72133319896367
"183","INT3_7_deep_control",2,"intact","INT3","7","deep","control","INT3_7","INT3_7_deep",0.12195122,0.951219512,371.875,0.0053781512605042,-5.22541059573995
"184","INT3_7_deep_oven",10,"intact","INT3","7","deep","oven","INT3_7","INT3_7_deep",0.12195122,0.951219512,371.875,0.026890756302521,-3.61597268330585
"185","INT3_7_deep_ovenchar",8,"intact","INT3","7","deep","ovenchar","INT3_7","INT3_7_deep",0.12195122,0.951219512,371.875,0.0215126050420168,-3.83911623462006
"186","INT3_7_surface_charate",25,"intact","INT3","7","surface","charate","INT3_7","INT3_7_surface",0.12195122,0.951219512,218.75,0.114285714285714,-2.16905370036952
"187","INT3_7_surface_control",31,"intact","INT3","7","surface","control","INT3_7","INT3_7_surface",0.12195122,0.951219512,218.75,0.141714285714286,-1.95394232075258
"188","INT3_7_surface_oven",27,"intact","INT3","7","surface","oven","INT3_7","INT3_7_surface",0.12195122,0.951219512,218.75,0.123428571428571,-2.09209265923339
"189","INT3_7_surface_ovenchar",19,"intact","INT3","7","surface","ovenchar","INT3_7","INT3_7_surface",0.12195122,0.951219512,218.75,0.0868571428571429,-2.44349054607128
"190","INT3_8_deep_charate",7,"intact","INT3","8","deep","charate","INT3_8","INT3_8_deep",0.12195122,0.951219512,371.875,0.0188235294117647,-3.97264762724458
"191","INT3_8_deep_control",8,"intact","INT3","8","deep","control","INT3_8","INT3_8_deep",0.12195122,0.951219512,371.875,0.0215126050420168,-3.83911623462006
"192","INT3_8_deep_oven",5,"intact","INT3","8","deep","oven","INT3_8","INT3_8_deep",0.12195122,0.951219512,371.875,0.0134453781512605,-4.30911986386579
"193","INT3_8_deep_ovenchar",10,"intact","INT3","8","deep","ovenchar","INT3_8","INT3_8_deep",0.12195122,0.951219512,371.875,0.026890756302521,-3.61597268330585
"194","INT3_8_surface_charate",8,"intact","INT3","8","surface","charate","INT3_8","INT3_8_surface",0.12195122,0.951219512,164.0625,0.0487619047619048,-3.02080591110611
"195","INT3_8_surface_control",10,"intact","INT3","8","surface","control","INT3_8","INT3_8_surface",0.12195122,0.951219512,164.0625,0.060952380952381,-2.7976623597919
"196","INT3_8_surface_oven",5,"intact","INT3","8","surface","oven","INT3_8","INT3_8_surface",0.12195122,0.951219512,164.0625,0.0304761904761905,-3.49080954035184
"197","INT3_8_surface_ovenchar",20,"intact","INT3","8","surface","ovenchar","INT3_8","INT3_8_surface",0.12195122,0.951219512,164.0625,0.121904761904762,-2.10451517923195
"198","INT3_9_deep_charate",4,"intact","INT3","9","deep","charate","INT3_9","INT3_9_deep",0.12195122,0.951219512,371.875,0.0107563025210084,-4.53226341518
"199","INT3_9_deep_control",3,"intact","INT3","9","deep","control","INT3_9","INT3_9_deep",0.12195122,0.951219512,371.875,0.0080672268907563,-4.81994548763178
"200","INT3_9_deep_oven",5,"intact","INT3","9","deep","oven","INT3_9","INT3_9_deep",0.12195122,0.951219512,371.875,0.0134453781512605,-4.30911986386579
"201","INT3_9_deep_ovenchar",14,"intact","INT3","9","deep","ovenchar","INT3_9","INT3_9_deep",0.12195122,0.951219512,371.875,0.0376470588235294,-3.27950044668464
"202","INT3_9_surface_charate",18,"intact","INT3","9","surface","charate","INT3_9","INT3_9_surface",0.12195122,0.951219512,164.0625,0.109714285714286,-2.20987569488978
"203","INT3_9_surface_control",11,"intact","INT3","9","surface","control","INT3_9","INT3_9_surface",0.12195122,0.951219512,164.0625,0.067047619047619,-2.70235217998757
"204","INT3_9_surface_oven",30,"intact","INT3","9","surface","oven","INT3_9","INT3_9_surface",0.12195122,0.951219512,164.0625,0.182857142857143,-1.69905007112379
"205","INT3_9_surface_ovenchar",17,"intact","INT3","9","surface","ovenchar","INT3_9","INT3_9_surface",0.12195122,0.951219512,164.0625,0.103619047619048,-2.26703410872973
