"","DEG1_1","DEG1_2","DEG1_3","DEG2_4","DEG2_5","DEG2_6","ENH1_1","ENH1_2","ENH1_3","ENH2_4","ENH2_5","ENH2_6","Intact_1_1","Intact_2_2","Intact_3_3"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0.219512195121951,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0.048780487804878,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0.51219512195122,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0.121951219512195,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0.536585365853659,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0.121951219512195,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0.463414634146341,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0.048780487804878,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0.170731707317073,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0.048780487804878,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0.219512195121951,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0.390243902439024,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390243902439
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121951219512195
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48780487804878
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341463414634146
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317073170731707
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731707317073171
"26",0,0,0,0,0,0,0.024390243902439,0,0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0,0,0.0975609756097561,0,0,0,0,0,0
"28",0,0,0,0,0,0,0.317073170731707,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0.024390243902439,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0.024390243902439,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0.463414634146341,0,0.463414634146341,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0.609756097560976,0,0,0,0,0,0,0
"33",0,0,0,0,0,0,0,0,0.024390243902439,0,0,0,0,0,0
"34",0,0,0,0,0,0,0.170731707317073,0,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,0.195121951219512,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0,0,0.292682926829268,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0.024390243902439,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0.048780487804878,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0.121951219512195,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0.170731707317073,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0.024390243902439,0,0,0,0,0,0
"42",0,0,0,0,0,0,0.024390243902439,0,0.024390243902439,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0.024390243902439,0,0,0,0,0,0
"44",0,0,0,0,0,0,0,0,0.024390243902439,0,0,0,0,0,0
"45",0,0,0,0,0,0,0.195121951219512,0,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0.24390243902439,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,0.51219512195122,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0.536585365853659,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0.024390243902439,0,0,0,0,0,0
"50",0,0,0,0,0,0,0.024390243902439,0,0,0,0,0,0,0,0
"51",0,0,0,0,0,0,0.0975609756097561,0,0,0,0,0,0,0,0
"52",0,0,0,0,0,0,0.292682926829268,0,0,0,0,0,0,0,0
"53",0,0,0,0,0,0,0,0,0.365853658536585,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0.024390243902439,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0.0731707317073171,0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0.024390243902439,0,0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0,0.121951219512195,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0.170731707317073,0,0,0,0,0,0
"59",0,0,0,0,0,0,0,0,0,0.024390243902439,0.024390243902439,0,0,0,0
"60",0,0,0,0,0,0,0,0,0,0.024390243902439,0,0,0,0,0
"61",0,0,0,0,0,0,0,0,0,0,0,0.048780487804878,0,0,0
"62",0,0,0,0,0,0,0,0,0,0.219512195121951,0,0,0,0,0
"63",0,0,0,0,0,0,0,0,0,0,0,0.268292682926829,0,0,0
"64",0,0,0,0,0,0,0,0,0,0,0.585365853658537,0,0,0,0
"65",0,0,0,0,0,0,0,0,0,0,0,0.365853658536585,0,0,0
"66",0,0,0,0,0,0,0,0,0,0.51219512195122,0,0,0,0,0
"67",0,0,0,0,0,0,0,0,0,0,0.048780487804878,0,0,0,0
"68",0,0,0,0,0,0,0,0,0,0.195121951219512,0,0,0,0,0
"69",0,0,0,0,0,0,0,0,0,0,0,0.219512195121951,0,0,0
"70",0,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0,0,0
"71",0,0,0,0,0,0,0,0,0,0.0975609756097561,0,0,0,0,0
"72",0,0,0,0,0,0,0,0,0,0,0.121951219512195,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0,0,0
"74",0,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0,0,0
"75",0,0,0,0,0,0,0,0,0,0.024390243902439,0,0,0,0,0
"76",0,0,0,0,0,0,0,0,0,0,0.048780487804878,0,0,0,0
"77",0,0,0,0,0,0,0,0,0,0.024390243902439,0,0,0,0,0
"78",0,0,0,0,0,0,0,0,0,0,0.170731707317073,0,0,0,0
"79",0,0,0,0,0,0,0,0,0,0.317073170731707,0,0.317073170731707,0,0,0
"80",0,0,0,0,0,0,0,0,0,0,0.0975609756097561,0,0,0,0
"81",0,0,0,0,0,0,0,0,0,0,0,0.195121951219512,0,0,0
"82",0,0,0,0,0,0,0,0,0,0.024390243902439,0,0,0,0,0
"83",0.024390243902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",0,0.048780487804878,0.048780487804878,0,0,0,0,0,0,0,0,0,0,0,0
"85",0.0731707317073171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",0.634146341463415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",0,0.658536585365854,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",0,0,0.853658536585366,0,0,0,0,0,0,0,0,0,0,0,0
"89",0,0,0.0975609756097561,0,0,0,0,0,0,0,0,0,0,0,0
"90",0,0,0.341463414634146,0,0,0,0,0,0,0,0,0,0,0,0
"91",0,0.585365853658537,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",0.780487804878049,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",0.024390243902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",0.024390243902439,0.024390243902439,0,0,0,0,0,0,0,0,0,0,0,0,0
"95",0.048780487804878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",0,0,0.268292682926829,0,0,0,0,0,0,0,0,0,0,0,0
"97",0,0.585365853658537,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",0.780487804878049,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",0.048780487804878,0.048780487804878,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",0,0,0.0975609756097561,0,0,0,0,0,0,0,0,0,0,0,0
"101",0.341463414634146,0.341463414634146,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",0,0,0,0,0,0.048780487804878,0,0,0,0,0,0,0,0,0
"103",0,0,0,0,0.707317073170732,0,0,0,0,0,0,0,0,0,0
"104",0,0,0,0,0,0.731707317073171,0,0,0,0,0,0,0,0,0
